region,period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
04130000000 Эвенкийский автономный округ (Красноярский край),67 май,5,5,2,6,9,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),121 январь-май,55,65,37,61,60,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),66 июнь,14,10,13,17,15,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),120 январь-июнь,69,75,50,78,75,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),65 июль,8,28,12,25,18,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),119 январь-июль,77,103,62,103,93,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),60 август,19,7,7,6,8,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),116 январь-август,96,110,69,109,101,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),108 сентябрь,16,5,9,12,0,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),125 январь-сентябрь,112,115,78,121,101,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),105 октябрь,12,8,13,11,6,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),124 январь-октябрь,124,123,91,132,107,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),104 ноябрь,14,19,15,11,10,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),123 январь-ноябрь,138,142,106,143,117,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),62 декабрь,12,22,16,7,13,"","","","","","","","","",""
04130000000 Эвенкийский автономный округ (Красноярский край),118 январь-декабрь,150,164,122,150,130,"","","","","","","","","",""
25000000000 Иркутская область,115 январь,942,992,945,"1,076","1,058","1,050",981,"1,068","1,042","1,052",820,"1,107",967,862,748
25000000000 Иркутская область,114 февраль,957,"1,136","1,199","1,438","1,153","1,208","1,153","1,330","1,471","1,277","1,035","1,315","1,018",967,"1,237"
25000000000 Иркутская область,M01_02 январь-февраль,"1,899","2,128","2,144","2,514","2,211","2,258","2,134","2,398","2,513","2,329","1,855","2,422","1,985","1,829","1,985"
25000000000 Иркутская область,68 март,"1,494","1,511","1,550","1,397","1,313","1,574","1,360","1,838","1,434","1,341","1,246","1,539","1,403","1,268","1,047"
25000000000 Иркутская область,122 январь-март,"3,393","3,639","3,694","3,911","3,524","3,832","3,494","4,236","3,947","3,670","3,101","3,961","3,388","3,097","3,032"
25000000000 Иркутская область,61 апрель,"1,589","1,773","1,585","1,779","2,045","1,743","1,593","1,546","1,778","1,557","1,262","1,566","1,365","1,259",635
25000000000 Иркутская область,117 январь-апрель,"4,982","5,412","5,279","5,690","5,569","5,575","5,087","5,782","5,725","5,227","4,363","5,527","4,753","4,356","3,667"
25000000000 Иркутская область,67 май,555,636,758,687,598,660,742,764,866,709,733,752,677,677,284
25000000000 Иркутская область,121 январь-май,"5,537","6,048","6,037","6,377","6,167","6,235","5,829","6,546","6,591","5,936","5,096","6,279","5,430","5,033","3,951"
25000000000 Иркутская область,66 июнь,"1,981","2,255","2,017","2,117","2,082","2,260","2,322","2,469","2,212","2,105","1,981","2,064","1,888","1,937","1,363"
25000000000 Иркутская область,120 январь-июнь,"7,518","8,303","8,054","8,494","8,249","8,495","8,151","9,015","8,803","8,041","7,077","8,343","7,318","6,970","5,314"
25000000000 Иркутская область,65 июль,"2,171","2,547","2,305","2,696","2,970","2,930","2,666","2,710","2,729","2,722","2,552","2,933","2,240","2,264","1,983"
25000000000 Иркутская область,119 январь-июль,"9,689","10,850","10,359","11,190","11,219","11,425","10,817","11,725","11,532","10,763","9,629","11,276","9,558","9,234","7,297"
25000000000 Иркутская область,60 август,"2,494","2,881","3,130","2,668","2,628","2,815","2,889","3,085","2,968","2,657","2,342","2,550","2,864","2,335","2,017"
25000000000 Иркутская область,116 январь-август,"12,183","13,731","13,489","13,858","13,847","14,240","13,706","14,810","14,500","13,420","11,971","13,826","12,422","11,569","9,314"
25000000000 Иркутская область,108 сентябрь,"2,135","2,218","2,052","2,198","2,202","2,394","2,109","2,239","2,150","2,046","1,793","1,969","1,704","1,853","1,445"
25000000000 Иркутская область,125 январь-сентябрь,"14,318","15,949","15,541","16,056","16,049","16,634","15,815","17,049","16,650","15,466","13,764","15,795","14,126","13,422","10,759"
25000000000 Иркутская область,105 октябрь,"1,654","1,843","1,833","1,935","2,096","2,060","1,765","1,753","1,798","1,702","1,426","1,490",853,"1,384","1,330"
25000000000 Иркутская область,124 январь-октябрь,"15,972","17,792","17,374","17,991","18,145","18,694","17,580","18,802","18,448","17,168","15,190","17,285","14,979","14,806","12,089"
25000000000 Иркутская область,104 ноябрь,"1,597","2,231","1,582","1,454","1,590","2,224","1,590","1,735","1,576","1,652","1,203","1,386",969,"1,475",961
25000000000 Иркутская область,123 январь-ноябрь,"17,569","20,023","18,956","19,445","19,735","20,918","19,170","20,537","20,024","18,820","16,393","18,671","15,948","16,281","13,050"
25000000000 Иркутская область,62 декабрь,"1,806","2,791","1,395","1,678","1,672","2,713","1,719","1,646","1,817","2,544","1,227","1,577","1,123","1,800","1,010"
25000000000 Иркутская область,118 январь-декабрь,"19,375","22,814","20,351","21,123","21,407","23,631","20,889","22,183","21,841","21,364","17,620","20,248","17,071","18,081","14,060"
25100000000 Усть-Ордынский Бурятский округ,115 январь,35,38,54,40,35,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,114 февраль,29,34,33,49,56,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,M01_02 январь-февраль,64,72,87,89,91,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,68 март,64,80,68,67,78,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,122 январь-март,128,152,155,156,169,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,61 апрель,70,67,93,86,86,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,117 январь-апрель,198,219,248,242,255,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,67 май,20,14,28,21,17,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,121 январь-май,218,233,276,263,272,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,66 июнь,17,97,86,111,103,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,120 январь-июнь,235,330,362,374,375,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,65 июль,111,110,96,118,149,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,119 январь-июль,346,440,458,492,524,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,60 август,90,108,119,90,105,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,116 январь-август,436,548,577,582,629,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,108 сентябрь,102,57,62,81,65,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,125 январь-сентябрь,538,605,639,663,694,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,105 октябрь,88,73,78,85,85,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,124 январь-октябрь,626,678,717,748,779,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,104 ноябрь,76,141,106,88,91,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,123 январь-ноябрь,702,819,823,836,870,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,62 декабрь,64,132,98,94,92,"","","","","","","","","",""
25100000000 Усть-Ордынский Бурятский округ,118 январь-декабрь,766,951,921,930,962,"","","","","","","","","",""
32000000000 Кемеровская область - Кузбасс,115 январь,"1,250","1,213","1,365","1,184","1,161","1,015","1,116","1,209","1,074",988,778,838,877,749,698
32000000000 Кемеровская область - Кузбасс,114 февраль,"1,373","1,510","1,455","1,568","1,277","1,308","1,416","1,308","1,393","1,211",971,"1,100",916,835,"1,153"
32000000000 Кемеровская область - Кузбасс,M01_02 январь-февраль,"2,623","2,723","2,820","2,752","2,438","2,323","2,532","2,517","2,467","2,199","1,749","1,938","1,793","1,584","1,851"
32000000000 Кемеровская область - Кузбасс,68 март,"1,908","1,602","2,081","1,414","1,209","1,537","1,453","1,955","1,411","1,067","1,130","1,090","1,100","1,200",954
32000000000 Кемеровская область - Кузбасс,122 январь-март,"4,531","4,325","4,901","4,166","3,647","3,860","3,985","4,472","3,878","3,266","2,879","3,028","2,893","2,784","2,805"
32000000000 Кемеровская область - Кузбасс,61 апрель,"2,035","2,124","1,517","1,793","2,269","1,839","1,935","1,311","1,629","1,411","1,075","1,358","1,210","1,036",668
32000000000 Кемеровская область - Кузбасс,117 январь-апрель,"6,566","6,449","6,418","5,959","5,916","5,699","5,920","5,783","5,507","4,677","3,954","4,386","4,103","3,820","3,473"
32000000000 Кемеровская область - Кузбасс,67 май,751,754,"1,057",780,712,771,847,839,811,652,597,545,610,641,281
32000000000 Кемеровская область - Кузбасс,121 январь-май,"7,317","7,203","7,475","6,739","6,628","6,470","6,767","6,622","6,318","5,329","4,551","4,931","4,713","4,461","3,754"
32000000000 Кемеровская область - Кузбасс,66 июнь,"2,475","2,594","2,778","2,369","2,339","2,475","2,827","2,914","2,433","2,034","1,946","1,962","2,239","1,887","1,258"
32000000000 Кемеровская область - Кузбасс,120 январь-июнь,"9,792","9,797","10,253","9,108","8,967","8,945","9,594","9,536","8,751","7,363","6,497","6,893","6,952","6,348","5,012"
32000000000 Кемеровская область - Кузбасс,65 июль,"2,906","3,023","2,622","2,613","3,253","3,282","2,988","2,777","2,546","2,518","2,513","2,725","2,168","2,050","1,716"
32000000000 Кемеровская область - Кузбасс,119 январь-июль,"12,698","12,820","12,875","11,721","12,220","12,227","12,582","12,313","11,297","9,881","9,010","9,618","9,120","8,398","6,728"
32000000000 Кемеровская область - Кузбасс,60 август,"3,180","3,203","4,186","3,371","3,123","3,233","3,368","3,506","3,168","2,733","2,467","2,331","2,476","2,262","1,946"
32000000000 Кемеровская область - Кузбасс,116 январь-август,"15,878","16,023","17,061","15,092","15,343","15,460","15,950","15,819","14,465","12,614","11,477","11,949","11,596","10,660","8,674"
32000000000 Кемеровская область - Кузбасс,108 сентябрь,"2,865","2,812","2,436","2,540","2,499","2,800","2,731","2,393","2,177","1,994","1,848","2,054","1,798","1,729","1,519"
32000000000 Кемеровская область - Кузбасс,125 январь-сентябрь,"18,743","18,835","19,497","17,632","17,842","18,260","18,681","18,212","16,642","14,608","13,325","14,003","13,394","12,389","10,193"
32000000000 Кемеровская область - Кузбасс,105 октябрь,"1,920","2,044","2,034","2,052","2,355","2,116","1,911","1,711","1,548","1,543","1,380","1,228",823,"1,330","1,371"
32000000000 Кемеровская область - Кузбасс,124 январь-октябрь,"20,663","20,879","21,531","19,684","20,197","20,376","20,592","19,923","18,190","16,151","14,705","15,231","14,217","13,719","11,564"
32000000000 Кемеровская область - Кузбасс,104 ноябрь,"1,679","2,085","1,909","1,595","1,601","2,232","1,643","1,737","1,443","1,279","1,023","1,169",862,"1,279",964
32000000000 Кемеровская область - Кузбасс,123 январь-ноябрь,"22,342","22,964","23,440","21,279","21,798","22,608","22,235","21,660","19,633","17,430","15,728","16,400","15,079","14,998","12,528"
32000000000 Кемеровская область - Кузбасс,62 декабрь,"1,853","2,267","1,623","1,668","1,761","2,092","2,136","1,559","1,436","1,530","1,181","1,341",884,"1,141",989
32000000000 Кемеровская область - Кузбасс,118 январь-декабрь,"24,195","25,231","25,063","22,947","23,559","24,700","24,371","23,219","21,069","18,960","16,909","17,741","15,963","16,139","13,517"
50000000000 Новосибирская область,115 январь,"1,080","1,236","1,261","1,415","1,152","1,053","1,196","1,137","1,216","1,148",956,953,968,905,863
50000000000 Новосибирская область,114 февраль,"1,104","1,267","1,367","1,395","1,193","1,203","1,500","1,347","1,464","1,263","1,186","1,102","1,011","1,042","1,205"
50000000000 Новосибирская область,M01_02 январь-февраль,"2,184","2,503","2,628","2,810","2,345","2,256","2,696","2,484","2,680","2,411","2,142","2,055","1,979","1,947","2,068"
50000000000 Новосибирская область,68 март,"1,470","1,611","1,741","1,549","1,507","1,753","1,701","1,934","1,518","1,348","1,385","1,512","1,237","1,261","1,120"
50000000000 Новосибирская область,122 январь-март,"3,654","4,114","4,369","4,359","3,852","4,009","4,397","4,418","4,198","3,759","3,527","3,567","3,216","3,208","3,188"
50000000000 Новосибирская область,61 апрель,"1,639","1,915","1,815","1,915","2,253","1,868","2,043","1,680","1,762","1,707","1,284","1,522","1,441","1,182",717
50000000000 Новосибирская область,117 январь-апрель,"5,293","6,029","6,184","6,274","6,105","5,877","6,440","6,098","5,960","5,466","4,811","5,089","4,657","4,390","3,905"
50000000000 Новосибирская область,67 май,681,782,931,864,822,863,"1,140",968,974,887,863,769,811,800,259
50000000000 Новосибирская область,121 январь-май,"5,974","6,811","7,115","7,138","6,927","6,740","7,580","7,066","6,934","6,353","5,674","5,858","5,468","5,190","4,164"
50000000000 Новосибирская область,66 июнь,"2,431","2,700","2,634","2,656","2,693","2,943","3,232","2,889","2,594","2,298","2,540","2,541","2,254","2,080","1,545"
50000000000 Новосибирская область,120 январь-июнь,"8,405","9,511","9,749","9,794","9,620","9,683","10,812","9,955","9,528","8,651","8,214","8,399","7,722","7,270","5,709"
50000000000 Новосибирская область,65 июль,"2,642","3,146","3,090","3,250","3,461","3,512","3,426","3,281","3,291","3,054","3,024","2,879","2,412","2,485","2,257"
50000000000 Новосибирская область,119 январь-июль,"11,047","12,657","12,839","13,044","13,081","13,195","14,238","13,236","12,819","11,705","11,238","11,278","10,134","9,755","7,966"
50000000000 Новосибирская область,60 август,"3,390","3,640","4,267","3,549","3,421","3,722","3,868","3,670","3,315","3,003","2,882","2,893","2,999","2,779","2,163"
50000000000 Новосибирская область,116 январь-август,"14,437","16,297","17,106","16,593","16,502","16,917","18,106","16,906","16,134","14,708","14,120","14,171","13,133","12,534","10,129"
50000000000 Новосибирская область,108 сентябрь,"2,872","2,931","2,663","2,915","2,871","3,175","2,946","2,911","2,874","2,687","2,424","2,552","2,272","2,150","1,941"
50000000000 Новосибирская область,125 январь-сентябрь,"17,309","19,228","19,769","19,508","19,373","20,092","21,052","19,817","19,008","17,395","16,544","16,723","15,405","14,684","12,070"
50000000000 Новосибирская область,105 октябрь,"1,761","2,142","1,895","2,122","2,254","2,181","2,113","2,229","2,164","2,083","1,664","1,678",696,"1,790","1,619"
50000000000 Новосибирская область,124 январь-октябрь,"19,070","21,370","21,664","21,630","21,627","22,273","23,165","22,046","21,172","19,478","18,208","18,401","16,101","16,474","13,689"
50000000000 Новосибирская область,104 ноябрь,"1,593","1,985","1,752","1,751","1,622","2,307","1,720","1,718","1,607","1,539","1,331","1,431",693,"1,481","1,133"
50000000000 Новосибирская область,123 январь-ноябрь,"20,663","23,355","23,416","23,381","23,249","24,580","24,885","23,764","22,779","21,017","19,539","19,832","16,794","17,955","14,822"
50000000000 Новосибирская область,62 декабрь,"1,727","2,253","1,781","1,921","1,794","2,319","1,918","1,836","1,790","1,988","1,324","1,466",854,"1,450","1,157"
50000000000 Новосибирская область,118 январь-декабрь,"22,390","25,608","25,197","25,302","25,043","26,899","26,803","25,600","24,569","23,005","20,863","21,298","17,648","19,405","15,979"
52000000000 Омская область,115 январь,759,815,819,922,835,855,839,889,902,813,656,669,745,617,583
52000000000 Омская область,114 февраль,852,966,850,"1,053",906,"1,001","1,077","1,079","1,116",979,729,864,765,709,821
52000000000 Омская область,M01_02 январь-февраль,"1,611","1,781","1,669","1,975","1,741","1,856","1,916","1,968","2,018","1,792","1,385","1,533","1,510","1,326","1,404"
52000000000 Омская область,68 март,"1,122","1,083","1,194","1,073","1,100","1,305","1,222","1,389","1,114",916,998,941,917,842,730
52000000000 Омская область,122 январь-март,"2,733","2,864","2,863","3,048","2,841","3,161","3,138","3,357","3,132","2,708","2,383","2,474","2,427","2,168","2,134"
52000000000 Омская область,61 апрель,"1,190","1,317","1,263","1,287","1,548","1,454","1,450","1,214","1,290","1,191",912,"1,144",977,856,257
52000000000 Омская область,117 январь-апрель,"3,923","4,181","4,126","4,335","4,389","4,615","4,588","4,571","4,422","3,899","3,295","3,618","3,404","3,024","2,391"
52000000000 Омская область,67 май,489,536,574,519,555,667,716,758,788,616,553,530,514,511,142
52000000000 Омская область,121 январь-май,"4,412","4,717","4,700","4,854","4,944","5,282","5,304","5,329","5,210","4,515","3,848","4,148","3,918","3,535","2,533"
52000000000 Омская область,66 июнь,"1,570","1,674","1,621","1,745","1,830","2,035","2,070","2,084","1,776","1,596","1,548","1,486","1,475","1,360","1,161"
52000000000 Омская область,120 январь-июнь,"5,982","6,391","6,321","6,599","6,774","7,317","7,374","7,413","6,986","6,111","5,396","5,634","5,393","4,895","3,694"
52000000000 Омская область,65 июль,"1,851","2,036","1,849","1,985","2,392","2,426","2,222","2,196","2,128","1,950","1,913","1,950","1,600","1,549","1,356"
52000000000 Омская область,119 январь-июль,"7,833","8,427","8,170","8,584","9,166","9,743","9,596","9,609","9,114","8,061","7,309","7,584","6,993","6,444","5,050"
52000000000 Омская область,60 август,"2,219","2,331","2,678","2,288","2,373","2,554","2,613","2,636","2,437","2,173","1,824","1,921","2,021","1,640","1,476"
52000000000 Омская область,116 январь-август,"10,052","10,758","10,848","10,872","11,539","12,297","12,209","12,245","11,551","10,234","9,133","9,505","9,014","8,084","6,526"
52000000000 Омская область,108 сентябрь,"1,906","1,858","1,691","1,902","2,011","2,274","2,077","2,033","1,879","1,602","1,328","1,560","1,391","1,369","1,227"
52000000000 Омская область,125 январь-сентябрь,"11,958","12,616","12,539","12,774","13,550","14,571","14,286","14,278","13,430","11,836","10,461","11,065","10,405","9,453","7,753"
52000000000 Омская область,105 октябрь,"1,328","1,466","1,372","1,641","1,707","1,808","1,527","1,613","1,535","1,291","1,087","1,046",606,"1,048","1,076"
52000000000 Омская область,124 январь-октябрь,"13,286","14,082","13,911","14,415","15,257","16,379","15,813","15,891","14,965","13,127","11,548","12,111","11,011","10,501","8,829"
52000000000 Омская область,104 ноябрь,"1,176","1,448","1,142","1,165","1,283","1,663","1,449","1,355","1,114","1,088",904,963,538,972,712
52000000000 Омская область,123 январь-ноябрь,"14,462","15,530","15,053","15,580","16,540","18,042","17,262","17,246","16,079","14,215","12,452","13,074","11,549","11,473","9,541"
52000000000 Омская область,62 декабрь,"1,278","1,554","1,172","1,359","1,366","1,783","1,467","1,331","1,367","1,377",918,"1,031",632,"1,019",847
52000000000 Омская область,118 январь-декабрь,"15,740","17,084","16,225","16,939","17,906","19,825","18,729","18,577","17,446","15,592","13,370","14,105","12,181","12,492","10,388"
69000000000 Томская область,115 январь,419,430,432,454,364,386,367,345,383,437,311,350,299,287,325
69000000000 Томская область,114 февраль,438,525,560,555,485,491,552,530,497,472,421,475,401,344,480
69000000000 Томская область,M01_02 январь-февраль,857,955,992,"1,009",849,877,919,875,880,909,732,825,700,631,805
69000000000 Томская область,68 март,668,654,743,574,503,669,631,739,588,518,519,507,447,492,422
69000000000 Томская область,122 январь-март,"1,525","1,609","1,735","1,583","1,352","1,546","1,550","1,614","1,468","1,427","1,251","1,332","1,147","1,123","1,227"
69000000000 Томская область,61 апрель,717,765,627,714,811,675,700,559,593,587,468,497,508,473,269
69000000000 Томская область,117 январь-апрель,"2,242","2,374","2,362","2,297","2,163","2,221","2,250","2,173","2,061","2,014","1,719","1,829","1,655","1,596","1,496"
69000000000 Томская область,67 май,268,259,372,316,274,328,360,333,438,328,295,240,280,242,58
69000000000 Томская область,121 январь-май,"2,510","2,633","2,734","2,613","2,437","2,549","2,610","2,506","2,499","2,342","2,014","2,069","1,935","1,838","1,554"
69000000000 Томская область,66 июнь,948,"1,078",973,918,"1,001","1,045","1,115","1,084",941,924,917,948,928,842,565
69000000000 Томская область,120 январь-июнь,"3,458","3,711","3,707","3,531","3,438","3,594","3,725","3,590","3,440","3,266","2,931","3,017","2,863","2,680","2,119"
69000000000 Томская область,65 июль,"1,037","1,158","1,085","1,257","1,338","1,324","1,193","1,129","1,205","1,248","1,141","1,369",974,965,912
69000000000 Томская область,119 январь-июль,"4,495","4,869","4,792","4,788","4,776","4,918","4,918","4,719","4,645","4,514","4,072","4,386","3,837","3,645","3,031"
69000000000 Томская область,60 август,"1,170","1,336","1,642","1,284","1,205","1,293","1,400","1,354","1,250","1,094","1,120","1,151","1,214","1,050",863
69000000000 Томская область,116 январь-август,"5,665","6,205","6,434","6,072","5,981","6,211","6,318","6,073","5,895","5,608","5,192","5,537","5,051","4,695","3,894"
69000000000 Томская область,108 сентябрь,"1,096","1,046",977,"1,084","1,088","1,127","1,142","1,050","1,017",906,939,882,896,775,719
69000000000 Томская область,125 январь-сентябрь,"6,761","7,251","7,411","7,156","7,069","7,338","7,460","7,123","6,912","6,514","6,131","6,419","5,947","5,470","4,613"
69000000000 Томская область,105 октябрь,707,760,814,791,870,796,727,682,825,789,559,533,260,557,552
69000000000 Томская область,124 январь-октябрь,"7,468","8,011","8,225","7,947","7,939","8,134","8,187","7,805","7,737","7,303","6,690","6,952","6,207","6,027","5,165"
69000000000 Томская область,104 ноябрь,666,754,668,597,624,893,623,645,656,611,468,489,315,500,409
69000000000 Томская область,123 январь-ноябрь,"8,134","8,765","8,893","8,544","8,563","9,027","8,810","8,450","8,393","7,914","7,158","7,441","6,522","6,527","5,574"
69000000000 Томская область,62 декабрь,696,865,626,742,685,818,783,673,695,717,519,579,336,474,415
69000000000 Томская область,118 январь-декабрь,"8,830","9,630","9,519","9,286","9,248","9,845","9,593","9,123","9,088","8,631","7,677","8,020","6,858","7,001","5,989"
042 Дальневосточный федеральный округ,115 январь,"","","","","","","","","","","","","","2,852","2,772"
042 Дальневосточный федеральный округ,114 февраль,"","","","","","","","","","","","","","3,135","4,346"
042 Дальневосточный федеральный округ,M01_02 январь-февраль,"","","","","","","","","","","","","","5,987","7,118"
042 Дальневосточный федеральный округ,68 март,"","","","","","","","","","","","","","4,476","3,730"
042 Дальневосточный федеральный округ,122 январь-март,"","","","","","","","","","","","","","10,463","10,848"
042 Дальневосточный федеральный округ,61 апрель,"","","","","","","","","","","","","","4,543","2,636"
042 Дальневосточный федеральный округ,117 январь-апрель,"","","","","","","","","","","","","","15,006","13,484"
042 Дальневосточный федеральный округ,67 май,"","","","","","","","","","","","","","2,284","1,144"
042 Дальневосточный федеральный округ,121 январь-май,"","","","","","","","","","","","","","17,290","14,628"
042 Дальневосточный федеральный округ,66 июнь,"","","","","","","","","","","","","","5,982","3,930"
042 Дальневосточный федеральный округ,120 январь-июнь,"","","","","","","","","","","","","","23,272","18,558"
042 Дальневосточный федеральный округ,65 июль,"","","","","","","","","","","","","","6,118","5,179"
042 Дальневосточный федеральный округ,119 январь-июль,"","","","","","","","","","","","","","29,390","23,737"
042 Дальневосточный федеральный округ,60 август,"","","","","","","","","","","","","","7,085","6,072"
042 Дальневосточный федеральный округ,116 январь-август,"","","","","","","","","","","","","","36,475","29,809"
042 Дальневосточный федеральный округ,108 сентябрь,"","","","","","","","","","","","","","5,859","5,134"
042 Дальневосточный федеральный округ,125 январь-сентябрь,"","","","","","","","","","","","","","42,334","34,943"
042 Дальневосточный федеральный округ,105 октябрь,"","","","","","","","","","","","","","5,173","5,204"
042 Дальневосточный федеральный округ,124 январь-октябрь,"","","","","","","","","","","","","","47,507","40,147"
042 Дальневосточный федеральный округ,104 ноябрь,"","","","","","","","","","","","","3,361","5,236","3,494"
042 Дальневосточный федеральный округ,123 январь-ноябрь,"","","","","","","","","","","","","51,287","52,743","43,641"
042 Дальневосточный федеральный округ,62 декабрь,"","","","","","","","","","","","","3,514","5,350","3,599"
042 Дальневосточный федеральный округ,118 январь-декабрь,"","","","","","","","","","","","","54,801","58,093","47,240"
81000000000 Республика Бурятия,115 январь,383,464,495,461,462,434,386,401,365,348,332,311,337,303,308
81000000000 Республика Бурятия,114 февраль,436,522,454,580,488,490,474,478,479,396,379,424,354,356,412
81000000000 Республика Бурятия,M01_02 январь-февраль,819,986,949,"1,041",950,924,860,879,844,744,711,735,691,659,720
81000000000 Республика Бурятия,68 март,577,614,566,633,572,666,534,643,518,470,428,481,430,451,354
81000000000 Республика Бурятия,122 январь-март,"1,396","1,600","1,515","1,674","1,522","1,590","1,394","1,522","1,362","1,214","1,139","1,216","1,121","1,110","1,074"
81000000000 Республика Бурятия,61 апрель,717,785,731,859,862,724,715,702,684,667,475,544,500,498,112
81000000000 Республика Бурятия,117 январь-апрель,"2,113","2,385","2,246","2,533","2,384","2,314","2,109","2,224","2,046","1,881","1,614","1,760","1,621","1,608","1,186"
81000000000 Республика Бурятия,67 май,164,178,190,156,160,181,197,191,179,163,162,193,170,141,80
81000000000 Республика Бурятия,121 январь-май,"2,277","2,563","2,436","2,689","2,544","2,495","2,306","2,415","2,225","2,044","1,776","1,953","1,791","1,749","1,266"
81000000000 Республика Бурятия,66 июнь,720,738,720,828,761,839,808,848,801,699,618,678,677,615,429
81000000000 Республика Бурятия,120 январь-июнь,"2,997","3,301","3,156","3,517","3,305","3,334","3,114","3,263","3,026","2,743","2,394","2,631","2,468","2,364","1,695"
81000000000 Республика Бурятия,65 июль,829,915,773,889,"1,023","1,014",906,873,834,818,739,890,691,663,552
81000000000 Республика Бурятия,119 январь-июль,"3,826","4,216","3,929","4,406","4,328","4,348","4,020","4,136","3,860","3,561","3,133","3,521","3,159","3,027","2,247"
81000000000 Республика Бурятия,60 август,947,965,"1,162","1,026",925,"1,035",960,"1,098","1,011",834,727,786,875,740,628
81000000000 Республика Бурятия,116 январь-август,"4,773","5,181","5,091","5,432","5,253","5,383","4,980","5,234","4,871","4,395","3,860","4,307","4,034","3,767","2,875"
81000000000 Республика Бурятия,108 сентябрь,853,809,733,806,825,893,782,830,707,614,476,540,500,551,468
81000000000 Республика Бурятия,125 январь-сентябрь,"5,626","5,990","5,824","6,238","6,078","6,276","5,762","6,064","5,578","5,009","4,336","4,847","4,534","4,318","3,343"
81000000000 Республика Бурятия,105 октябрь,762,809,814,795,853,890,642,684,718,621,483,541,318,497,410
81000000000 Республика Бурятия,124 январь-октябрь,"6,388","6,799","6,638","7,033","6,931","7,166","6,404","6,748","6,296","5,630","4,819","5,388","4,852","4,815","3,753"
81000000000 Республика Бурятия,104 ноябрь,694,907,708,632,632,864,630,636,577,582,417,455,334,579,314
81000000000 Республика Бурятия,123 январь-ноябрь,"7,082","7,706","7,346","7,665","7,563","8,030","7,034","7,384","6,873","6,212","5,236","5,843","5,186","5,394","4,067"
81000000000 Республика Бурятия,62 декабрь,763,"1,055",593,684,674,"1,078",641,629,634,878,413,490,382,652,341
81000000000 Республика Бурятия,118 январь-декабрь,"7,845","8,761","7,939","8,349","8,237","9,108","7,675","8,013","7,507","7,090","5,649","6,333","5,568","6,046","4,408"
76000000000 Забайкальский край,115 январь,512,536,492,554,546,538,494,504,542,498,372,496,436,396,368
76000000000 Забайкальский край,114 февраль,564,490,561,669,625,610,586,592,646,565,457,503,405,414,458
76000000000 Забайкальский край,M01_02 январь-февраль,"1,076","1,026","1,053","1,223","1,171","1,148","1,080","1,096","1,188","1,063",829,999,841,810,826
76000000000 Забайкальский край,68 март,715,913,778,722,689,780,657,827,667,580,618,668,514,508,463
76000000000 Забайкальский край,122 январь-март,"1,791","1,939","1,831","1,945","1,860","1,928","1,737","1,923","1,855","1,643","1,447","1,667","1,355","1,318","1,289"
76000000000 Забайкальский край,61 апрель,901,993,892,895,977,964,788,774,802,713,572,655,621,597,291
