region,period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
030 Центральный федеральный округ,108 сентябрь,"40,480","41,779","34,894","38,480","37,866","44,597","40,343","37,963","36,006","36,329","31,401","34,822","31,354","29,934","26,823"
030 Центральный федеральный округ,125 январь-сентябрь,"223,204","244,261","233,400","245,820","241,212","251,675","241,666","249,401","253,217","240,234","210,710","226,389","207,424","199,035","156,240"
030 Центральный федеральный округ,105 октябрь,"24,137","27,545","26,311","28,249","30,139","30,585","24,202","25,460","27,970","27,551","21,207","20,976","10,681","21,784","21,810"
030 Центральный федеральный округ,124 январь-октябрь,"247,341","271,806","259,711","274,069","271,351","282,260","265,868","274,861","281,187","267,785","231,917","247,365","218,105","220,819","178,050"
030 Центральный федеральный округ,104 ноябрь,"21,207","28,827","23,424","21,554","21,280","29,506","21,602","23,779","22,210","21,747","16,157","18,567","10,746","19,811","14,451"
030 Центральный федеральный округ,123 январь-ноябрь,"268,548","300,633","283,135","295,623","292,631","311,766","287,470","298,640","303,397","289,532","248,074","265,932","228,851","240,630","192,501"
030 Центральный федеральный округ,62 декабрь,"19,009","27,525","17,748","18,466","18,376","26,698","21,409","19,355","19,425","23,625","15,466","18,252","11,126","18,966","13,373"
030 Центральный федеральный округ,118 январь-декабрь,"287,557","328,158","300,883","314,089","311,007","338,464","308,879","317,995","322,822","313,157","263,540","284,184","239,977","259,596","205,874"
14000000000 Белгородская область,115 январь,686,739,572,723,730,655,528,686,662,641,438,564,488,416,320
14000000000 Белгородская область,114 февраль,751,801,678,961,599,740,740,702,872,724,535,705,551,457,598
14000000000 Белгородская область,M01_02 январь-февраль,"1,437","1,540","1,250","1,684","1,329","1,395","1,268","1,388","1,534","1,365",973,"1,269","1,039",873,918
14000000000 Белгородская область,68 март,639,435,865,468,343,647,383,"1,004",594,385,556,399,376,557,310
14000000000 Белгородская область,122 январь-март,"2,076","1,975","2,115","2,152","1,672","2,042","1,651","2,392","2,128","1,750","1,529","1,668","1,415","1,430","1,228"
14000000000 Белгородская область,61 апрель,809,"1,328",460,"1,092","1,415",954,"1,059",420,"1,048","1,138",338,991,889,405,388
14000000000 Белгородская область,117 январь-апрель,"2,885","3,303","2,575","3,244","3,087","2,996","2,710","2,812","3,176","2,888","1,867","2,659","2,304","1,835","1,616"
14000000000 Белгородская область,67 май,427,363,639,501,496,510,421,587,605,480,610,346,366,428,204
14000000000 Белгородская область,121 январь-май,"3,312","3,666","3,214","3,745","3,583","3,506","3,131","3,399","3,781","3,368","2,477","3,005","2,670","2,263","1,820"
14000000000 Белгородская область,66 июнь,"1,240","1,265","1,327","1,237","1,060","1,545","1,433","1,809","1,508","1,191","1,273","1,316","1,117","1,319",808
14000000000 Белгородская область,120 январь-июнь,"4,552","4,931","4,541","4,982","4,643","5,051","4,564","5,208","5,289","4,559","3,750","4,321","3,787","3,582","2,628"
14000000000 Белгородская область,65 июль,"1,581","1,843","1,409","1,450","1,948","1,787","1,569","1,597","1,577","1,530","1,383","1,820","1,357","1,279",973
14000000000 Белгородская область,119 январь-июль,"6,133","6,774","5,950","6,432","6,591","6,838","6,133","6,805","6,866","6,089","5,133","6,141","5,144","4,861","3,601"
14000000000 Белгородская область,60 август,"1,787","1,926","2,191","2,072","1,800","1,834","1,835","2,131","2,076","1,900","1,395","1,566","1,898","1,638","1,336"
